name,title,rating,date,text,helpful_vote
daili joseph,Not original,1,31-Oct-20,"look at the photo i uploaded. This is how they hv hidden the 6 digit secret code for checking the authenticity of the product.. they did this intentionally, sold my cloudtail. Verry disappointed...",
Bala,Authentic product!,4,11-Aug-21,"I was worried about the previous reviews about fake products. But I got a authentic one, all the informations mentioned on the official site matches the product regarding authenticity. Also tastes good. I'll update my review after few days wrt the results.",
Naveen patekar,On should work on authentication,1,10-Aug-20,Product is fake and taste like gluecon-D. I don't know how is this is happening is it the shipment or the warehouse. ON should do something about it.,
Udit,Not good taste,1,3-May-22,Not palatable,
Abhishek Sharma,Best whey if u r beginner,5,15-Jul-21,Best whey isolate for beginners if it's your first time with whey just go for it its trusted flavour is good easy to blend and it won't go heavy on your digestive system,
Amazon Customer,Fake,1,6 April 2021,After delivery Within 6 month Expiry date. Look like not original product,
digvijay dhapola,FAKE FAKE FAKE!!! I repeat FAKE!!,1,4-Jul-20,"FAKE FAKE FAKE!!! I repeat FAKE!!DO NOT BUY IF THE SELLER IS GLANBIA.. there's no taste of chocolate , the box has a reddish tint(fake packaging)... there is no ON hologram...if there would be way to sue Amazon and seller, I would have definitely done it for sure as they are gambling with user's health..",
Rohith KS,Alert 100 % fake,1,5-Nov-18,"Packing and QR code all are genue ! But the powder mixability and taste is not good t all, i have purchased this product before from Healthcart that's 100% genue. Buyers i think it's not from US, powder is flying on the water just like plastic sand , amazon dislikes ??",
SAEED BHATIA,Satisfied.,5,22-Oct-19,"A very handy delivery, at first I was confused that whether I should buy this product from Amazon but it's all okay, u can purchase this after verifying I tried the taste and absorbing ability it felt good so I am satisfied.",
Paras Nath,Nothing can beat Optimum Nutrition,5,16-Jul-22,"I have been using the product past 2-3 months . If you workout seriously and keep your diet on check , ON gold standard would definitely be showing the best result you want for your body.",
k anand rao,Not good,1,18-Sep-18,Some thing wrong.  The shake with water is totally watery and tasteless.  I have used one heapful scoop with one glass of water.  I bought the same product previously. Was very happy with it.,
A Prakash,very good,4,19-Mar-21,estimated before delivery,
Amit kumar sahu,I don't think it's genuine,1,30-Jul-21,"I have tested its authenticity.It looks genuine from the outside but when i opened it, the scoop was transparent and the ON logo was not there.",
Shubham Johri,Genuine,5,4-Dec-21,It's genuine. But it is difficult to digest so your stomach will take some time to get used to it.,
Purna Ghosh,Very robust and reliable,5,8-Mar-20,"Some flavours are very good like cookie and cream. Can look at taking out other flavours also like banana, coconut, litchi etc.",
vivek,Trebbile,1,28-Jun-19,"Taste very bad .I think its a fake product because since i started its consumption i had health issues. Like stomach ache , vomitting ,indigestion.",
# Maharaja Soorajmal,Received only 10 scoops,1,24-Feb-22,Totally fake product I feel stomach pain Hain bloating on face lots of red red pimples and spots on back,
satvik,100% genuine.. go for it!,5,18-Nov-20,Delivery was within said time.. product is 100% genuine.. taste is awesome.. mixes easily with milk and water.. thumbs up????,
Amazon Customer,Looks fake product,1,7-Aug-21,According to the video the white paper cover should be present inside the lid.But I haven't found any white paper seal.Looks fake product ??,
Amazon Customer,Fake product,1,6-Aug-22,"Tampered packing, already scratched authentication number. Worst taste...It's A FAKE PRODUCT",
Ankit,Overall Good Product.,5,5-Nov-20,ON Nutrition Whey Protein Powder is very good & appears to be imported as per the sticker. Chocolate Flavour is yummy. Absorbency can be concluded only when does a regular jim for atleast 3 to 4 months.,
sanjesh,fake product.,1,13 April 2021,bakwas product.dont buy.  Fake product. Everyday i felt stomach ache after drinking. Now I stopped.,
Kazi Hasan Ali,Terrible taste,2,24-May-21,"I have bought chocolate flavour, tastes really bad. taste wise ultimate nutration is better and value for money as well.",
Anil Chauhan,Good one,5,21-Jul-20,"It?? a good product, ensure you buy from cloud tail only with either Glanbia or Bright commodities as distributors.",
Shaik Sameer Mohammad,"Worst ever product, waste of money",1,14-Sep-21,Can?? imagine how this turned outI??e bought this with my hard earned money thinking that buying a good international brand will be different from other non reputed brandsBut now I?? regretting my thoughts,
Teja devireddy,Bad product No return policy  don't buy this product,1,22-Aug-21,Bad product No return policy  don't buy products  best to buy at near stores amozom playing aa brokerage and they could not solved the customer problemWasted money and time with Amazon,
User,Fake suppliment,1,20-Jan-21,I have been using this product  since 1 year. But time this product taste different more sweet and completely not dissolving in water compare to my last one.I feel this not genuine supplement.I trust that cloudtaile provide genuine protien.,
Soniya,Fraudulent And Fake Product,1,5-May-19,This product is fraudelent. Its not original. The powder forms a foam and gives bland taste whereas we have been using this protein from last 5 years but first time dared to order from amazon to which we are shocked. There is a huge difference in original graphics of logo and the one we orderd from amazin. PLEASE DO NOT BUY,
Three eyed raven,Dont buy ...its humble request to you...totally fake product,1,11-Mar-21,Plz do not buy this product...it?? totally fake product... after consuming this whey i had a stomach pain.... plz dont buy its my humble request to you guyz,
Pranjal Singh,Review,5,6-Aug-21,Very good proteinGood dissolvebilityGood results,
Sohel.A,ZABARDAST!!!,5,30-Aug-21,"Frankly speaking was afraid of buying from Amazon after reading negative review, but thanks to Touchstone (glanbia authorised partner) for providing geniune product and Amazon for on-time delivery",
phil,Not up to to the mark,2,14-Dec-20,Just like drinking bournvita,
Swagata S.,Container only half full,1,23-Sep-20,Container was only half full and no scoop was included.  Never have had this experience with other brands of Whey Protein that I have purchased in the past.  I don't believe this is a result of "contents settling".  I do not recommend this product.  Value for the price is questionable.,
Edge,New white translucent scoop,4,28-May-21,It as this new white translucent scoop instead of golden opaque scoop. Online verification was successful.,
Rashmi Gupta,Wow Product,5,8 April 2022,This product is for young generation who are going to GYM regularly,
Maliny,very useful..,5,28-Mar-21,brand says it all..just needed original and cloudtail does the job,
Pooja,Great product!!!,5,22-Mar-21,I think the Only issue for beginners is it's too costly for them otherwise it's a good choice and a great product??,
Harshal Jadhav,Great product and looking forward for more flavours,5,24-May-21,Great product. But need more flavours from optimum NutritionDouble rich chocolate is good but would love to try other flavours also.,
Sashi,Duplicate product,1,13-Sep-20,I have received a duplicate product. It taste nothing like whey. I tried a spoon of the product and vomited all day. I have learned my lesson and will never buy supplements online again from here.,
Harshal,great product,4,22-Dec-19,This is excellent product for all gym lovers if you want to feed your body without any worry about the unethical means.,
Kirtesh Kuckian,Authentic but Old,3,3-Dec-20,Authentic product sent but MFG date is June 2019. Old product sent and only 6 months left till expiry..,
Prasad,"Its not genuine Product, Its a fake...",1,11-Dec-20,"Its not the original protein, The taste is completely different and its not genuine..Please dnt buy.",
Bhimraj,Bad quality,1,22-Dec-20,Don't buy this product.It's not original.,
Rajib saha,I discovered nothing,3,5-Nov-19,I discovered nothing why i should continue to use it as a regular running with light workout s as a fitness enthusiast,
Mritunjay kumar,Authenticity issue,1,6-May-21,I have doubts regarding authenticity of this product..... The scoop is not golden in colour with ON mark....it's transparent..... please help me with that,
Soumadeep Mondal,One of the best whey protein,4,30-Aug-20,It's amazing for beginners. It's not like others whey protin those taste are worst. It's taste is amazing. I love this.,
MEHROTRA A. K.,Value for money,5,16 April 2021,"Good flavour, regular user,& absorbable value for money",
ketan,Good for health and body building.,5,17-Jul-19,Good protine taste is good this is my first order double rich chocolate mra ye 2 lbs ka 40 days chla hai or ab  aaj he 5 lbs ka order keya hai valila icecream  usko bhe kha k dekhte hai kaisa rahe ga uska taste aa jaye ga mre pas  2 ya 3 din tk .,
Robert,Scoop is broken Inside. Feel like duplicate product,1,24-Feb-22,Broken scoop Inside and feel like Duplicate product,
Gagan Chauhan,Good product,5,22-Mar-21,The product is absolutely original ...reached in time and,
nishant chowdhary,Worst taste protien ever. You take it and you will hate taking protien. Smells bad.,1,15-Aug-22,Worst taste of a protien supplement. Cant even withdtand the smell. Taste awfull and you??l start hating protien.,
nikhil,Old and non genuine product,1,19-Feb-21,Old stock product... Imported date is 9/2019 and seling in 2021.Sticker placed from outside  which seems passted from 3rd party.Cant say product is genuine or not....,
Aniket,Seal already broken,1,12-Aug-21,"The media could not be loaded.
                
?Packaging is so cheap don?? buy this product looks fake  seal is already broken",
jaspreet singh bal,Genuine,5,16-Aug-21,A genuine product with verification code is just so relaxing that I am taking good dietary supplement,
Shubham Kulshrestha,Say No to Artificial Proteins,1,14-Oct-18,Never go for any kind of protein and weight gainer.Believe me NEVER. These can cause serious health issues to digestive system.Go for Natural ways,
Aryaman,Poor packaging but authentic product,4,6-Aug-19,"A good quality product. The major issue with purchasing whey protein online is authenticity, but the product was authentic. I?? only certain with ??loud tail??seller, not sure about others. It had a dent on the jar and jar cap was also deformed (not circular). It was the only thing disappointing.",
Adarsh Bhati,Not better then Big Muslces,3,29-Jul-19,It is good in taste and no changes in muscles,
sreejith,Great product,5,15-Oct-19,Great flavour... original product as described...NOTE:  Make sure you dont mix it with warm or hot water... it should be mixed in cold or normal temp water or it will clump...,
tvaexp,Close to expiry product,3,17-Mar-21,The product delivered is just few months away from the date of expiry. Supplier should send more recently packed products so that customer can use without the worry of product expiry in 2 months.,
A C,Product code Invalid. Unauthentic product sold by Cloudtail India,1,29-Oct-17,Bought it from Cloudtail India. One product code is valid and authentic. The other box?? product code is invalid on the website and also the message service 57575. Need to return the box whose authentication code is invalid.One product box is genuine and other isn??. Cloudtail please solve this issue.,
Asheesh,Good product,5,9-Jul-18,"Have been using this product for over 4 years now. The taste is good, it dissolves easily and most importantly is a genuine product. The serial number can be verified",
Durell Dsouza,100% genuine,5,9-Aug-20,"Yup,go ahead and buy it ,it's 100% genuine.P.s : I purchased it from cloudtail ind pvt limited. I don't know about the rest ,so it be safe buy from this supplier only.",
SIMA ADHIKARI,The product was 1year old and seemed different than 6month year old,3,14-Dec-21,I like it but wsa 1 year old!! And it was pretty different than the same product of 6months old... please when I odar it next time ...give max 6months and not older than that,
Dharmendra,I think it's duplicate product,1,23-Jun-22,Duplicate product when you take any protien powder than you can feel. this product keep body normal as before I am using 1kg after one month result zero,
Neha,"Got original product, let's use it for 3-4 weeks and confirm",5,5-Nov-20,"This is a small review, let me give review after 3-4 weeks, will share along with photos",
@rohithhsharma041,Best quality,4,20-Jul-19,It?? imported from US and abides to the quality and standardsYou can order them with trust as these are genuine and certified products,
Gurpreet,Fake product,1,30-May-22,At the time of verification it?? saying wrong code !! So check thn only open the box ..,
sairam vs,"FAKE PRODUCT, ALMOST LOOKED ORIGINAL",1,14 April 2021,"Recieved a fake product....it was almost looking original.But found a second quality scoop, white in colour, of a diff company instead of the standard ON Golden scoop.Which itself proves that there was tampering.",
Amazon Customer,Received July 2019 manufactured product,1,28-Feb-21,Received July 2019 manufactured product,
NARSINGH P,Fake product,1,18 April 2021,The quality of the product is different with original one. The texture of powder is different and I got transparent scoop. Scoop colour is gold in original.,
manoj kannan.p,Trust this product...,5,5-Jun-21,Very tasty to drink..digest well.. Result OK...good one. But result is late,
UB,Fake!,1,5-Aug-19,It was a fake product. It had a spelling mistake on the black label stuck on it and the label as a whole had a somewhat poor finishing.,
Deep Ratna mahajan,Very Good,5,18-Oct-19,Very good product and very good taste who ever takes protein he should try this once and results are also very good,
Pramod,Old batch,5,16-Feb-21,Original but very old batch. Just 6 months to expire.,
Pushpam singh,"Weird after taste, can't tell if it's normal",4,3-Sep-20,"I dont know why but this taste little bit like medicine, it have a very difficult after tast.Plez help meDM me on Instagram @pushpam24Plez share your experiences with me as I can't decide if its normal or notThank you",
Alexandra Moldovan,The best whey protein,5,16-Jan-22,Good product,
Khan Arman,Authentic!!,4,17-Mar-19,One star less because it had little clots .Except that the product is fantastic and authentic.I could see the results and the soreness gone due to quick muscle recovery.,
dharmateja.konda,Genuine product,5,13-May-21,Good for health n don?? hesitate to use this,
Priyanka khyamgonde,Ok,4,3-Oct-19,Bottom design is different than its shown in the ON website. 2 new stickers on it which not mentioned in the website.,
Kartikay Sharma,Authentic,5,15-Mar-22,It is a genuine product.,
Pratik Priyadarshi,Duplicate,1,6 April 2022,"Do not buy it, they send duplicate, it does not even taste like protein powder, says double chocolate but does not tastes a single chocolate even.",
User,worst product and pathetic customer service,1,30-Dec-20,unable to authenticate and poor protein does not work,
Amazon Customer,Authentic from primarc pecan #verified,5,1-Oct-16,"Bought it from Primarc pecan, Authentic product verified from ON customer careThis is my first whey protein, i just finished this 2 lbs tub, Huge improvement in my musclesDefinitely worth the moneyPS - Follow Diet and hardcore workout as well !!PPS - i am Ectomorph",
Parag,Good,4,6-Mar-22,Good,
Vinay Basavaraj,Quite average,3,15-Dec-20,"Lid was sealed but inner lid wasn't. Taste is mild compared to other brands. However, forms lumps when mixed with milk. Not great.",
Sumanth kumar,tastes good,5,7-Mar-20,taste and flavor is good and easily digestible . got old stock with manufacturing date in 2018,
Abhay,Fully satisfied ??,4,18-Oct-19,I don't know why some people are giving a negative review for this product . I m using it from the last week  and I can say that the product is original and good for health . I loved it's digestion process and it's good to boost ip ur energy . Good  recovery after gym .,
Sayantani,Stop adulteration,1,28-Feb-21,Its causing stomach ache..The protein is original but I guess it was mixed somewhere before getting delivered.,
Harsh,Whey protein,5,27-May-19,Taste awesome. Perfect protein in affordable price.I prefer with milkCloudtail sells 100% authentic products no doubt.,
release the kraken,original,5,1 April 2021,Authenticated. 100% original. Glanbia importers.,
Amaresh,"Excellent, Original product",5,4-Dec-17,"Excellent, original product. Help a lot controlling muscle soaring post workout. Provides required protien for muscles. Price a little higher but its original. Thanks to amazon and Bright Commodities.",
Tarun,Product not genuine,1,29-Sep-21,"I think product is not genuine, 6 digit code is not there only having 3 digit, want to return this product or need genuine original product. Amazon kindly take strict action",
Avinash,May be Fake,4,26-Nov-19,"I had ordered last year 2 Different flavours. Guess what, one Container was having name written over it ""isolate"" & on other container it was""isolates"". Spelling mistake??? such a big company will ever do mistakes like this.Doubtful Product may be",
asifali mukramali sayyed,good,4,13-Mar-21,good,
sunny kaushal,Very nice and popular among body builder,5,11-Sep-19,Only this protein suits me .... No stomach problems used it with water and milk both combination is good,
Ankit Nagwanshi,Not original,2,25-Feb-21,"Either fake product, or mixed, not recommended to buy it from Amazon",
Akash patil,Don't buy protein powder from cloudtail Pvt Ltd,1,21-Jan-21,"Don't buy protein powder from this cloud tail, I received package today and it was already opened and used one.. when I check with lid .. dirty webs were all around the lid..and Powder was also faulty quality",
Amazon Customer,Spend extra Rs.300 in a retail store. Don't waste money here.,1,15-Jul-20,The chance of receiving an original product is like tossing a coin. Don't take chances for saving Rs. 300 and lossing the entire money here. Better visit a authorised retailer offline.,
Chetan salunke,Sweetness is too long.,1,21-Jul-22,This product sweetness is too long aftr food also sweetness there.i hv try so many protein but not accptd from ultimate nutrition.,
Abhinav,Fake Product,1,24-Jul-20,This tastes weird. I have had many proteins in the past but this tastes the worst.Apprears that something has been mixed in the box.Avoid buying this.,
sourav,Best,4,21-Feb-22,Must buy don't go for MB,
Rajesh kapur,Fake product??,1,27-Jun-21,"The media could not be loaded.
                
?Pack failed sms verification process. No measuring scoop inside the pack. Why the Amazon?? playing with the health of consumer. Need immediate response.",
Altaf,Bestest protien ever,5,21-Aug-20,"This is really a measure scale for all whey protienIn simple i just say its a king of all whey protien.Flavour, thickness , solubility, availibility all are just awsome.",
nitesh,Delivered with box open. No seal,1,19 April 2021,The box was delivered with no seal. The powder was dripping out. It seem the box was opened before.,
Dr.sandeep,no authentic code,1,14 April 2021,fake product given with no authentication code and refused to replace while price increased 30 % in 1 day,
Manishankar,Great Whey,4,19-May-22,I could able to see positive result after 15 days of use and it tastes normal no bloating experienced.,
Siddhartha,Go big or it get heavy on pocket??,5,12-Oct-20,True gold standard go for the big box 5lbs its cheaper that way,
AKASH,Verst,1,13-Nov-21,Please don't buy this product from this vendor product is fake i it will hit your body,
Bicky Hota,Authenticity,4,6-Jun-20,Thank u Amazon... and bright commodities for this authentic product...After I checked all the authenticity provided by ON  I think it's authenticated but due to lockdown period only the verification only not done..Overall it's nice product,
MN,Apart from flavour everything is great,5,9-Oct-19,One of the best protein supplement. available in the market.But the flavour is not so great.,
Madhur Dhama,Value for money,5,8-May-21,What can i say its only a protein nothing more. Best quality and genuine product.,
Amazon Customer,Low shelf life,4,17-Jul-21,The product is good. I have used it before as well. But the seller sent me a product that's already 1 year 5 months into its shelf life of a total of two years.,
Guddu Rajput,Product is not better and or bhai return policy ma bakchodi ha bas Product refundable bhi nahi ha,1,9-Jun-22,Product is not better and it's taste is not good and when you  returned this product policy is not good product replace karanga he nahi,
MM,Unfortunately this is a fake product,1,18-Jan-20,"This is a fake product, I've been using from quite some time hence know it. Escalated but no response or help from either Amazon or ON.",
Gurpreet singh aulakh,Genuine product,5,29 April 2019,"The media could not be loaded.
                
?The product is orignal scratch the code and go to the website of importer bright the future is bright and authenticate the product",
Kshitiz,AWESOME !!!!,5,26-Aug-19,Flavor is good. Absorption rate depends on how you are working out with the correct diet plan. Totally recommended.,
Amazon Customer,Fake double rich chocolate,1,16-Oct-20,"Flavor is absolutely different, fake product received,using this for years now, wake up call to shift to other brand, the last box I finished a week ago and this I received, complete non sense",
Arjun Harindran,Original,5,22-Jun-21,Checked with the uniqlo app.,
Asif Bhai,Money waste,1,23 April 2020,Worst products it's not useful wasted of money don't buy this,
ranjith b.,Really it's good for take protien by powder ..trust me it works.,5,24-Jan-22,Really it's good for take protien by powder,
Amit,Good proteins,4,8-Jan-21,The taste was good and really delicious . Looks like the real thing for me as have been working out for over 10 months now,
Ajay nanu,Worst product,1,10-Jan-19,I have purchased way protein isolate 2lb.which is totally fake one. Because taste was very bad.flavour also not good. N after consum no results.,
Amit,Genuine product,4,3-Aug-18,I was worried about the genuineness of the product but fully satisfied. I checked the QR code and the product is genuine. I have been using double chocolate and tried the strawberry for the first time and I prefer double chocolate when it comes to the taste.,
"yogesh s.dalvi ,nallasopara, mumbai",Good product,5,5-May-21,Value for ??,
Tishmi,Protein drink,2,25-Sep-20,Taste is okiesh.had tried same brand bought from Dubai.It has diff n better taste .,
Smita,Dependable,5,22-Aug-21,I have been using this for past 1 year...definitely recommended.  Will help with sugar cravings and strength.This is my daily drink now.,
Vignesh Kumar,The only time I got a fresh and new pack.,5,12 April 2021,Bought on Mar 03/21. Seems finally they have got new stock and not selling old products. Looks good so far.,
Xuxux,Genuine stuff,5,25-Nov-19,I always liked isolate because it is easy on the stomach. This is the good stuff. Go for it!,
VIJAY MOHAN,Don't buy!! Fake product!!,1,17-Feb-21,The product did not look authentic when delivered. It tasted like mud and gave me a stomach ache. Please do not buy it from this seller. They sell fake products and I tried to return it but there is no reply.,
Shefali,Fake,1,12-Jul-20,I got fake product and it?? seal is already broken never buy protein powder from amazon it?? not trustworthy,
Subhrajit Majumder,Great to taste!!,5,20-May-14,"For a first timer, I must admit that the taste of Double Chocolate is definitely good. It's too early and too little to comment about the health benefits but hopefully it should be great as well.Discounted price on amazon on was Great",
Yogesh,Best to eat simple food,2,12-Aug-21,High side effects,
Sonu,Expired product,1,12-Mar-21,"The media could not be loaded.
                
?I got a product which is going to be expired in few months",
Ashok Yadav,first time buying ON whey  Original,4,14-Dec-19,Thank you Amazon original product and trust level is increase because this product is 100% percentage genuine,
pradeep b.,Wanna know if its original read the following:,5,26-Mar-19,"I just received my product ie on gold standard whey.The product is genuine,package handling was good.Three things to check ie golden seal on top, blue color writing on down and ""on"" written on top of the scoop...all these boxes were tick.. delivery on time...best app for shopping...",
mukul,Original product,5,31-Jul-18,This is my first time that I have purchased ON WHEY PROTEIN from Amazon instead of any authorized dealer and m happy to get an Original product,
Guneet Singh,"Selling very old product, 6 month awaya from expiry date",3,7-Jan-21,Selling at less rate because they are clearing the old stock which will expire in 6 months,
amol kakde,Authentic code doesn't work,2,21 April 2020,Feels duplicate product.,
Mrunal sethunath,Yummmy!!!,5,19-Oct-19,I have been ordering from Amazon past one year.. have had no complaints with the product or packaging,
Amazon Customer,One line (Perfect) ??,5,13-Jan-22,Likes1 Better and fast result2 chocolate flavour awasome3 100% absorption water and milkDislike1 costly,
Varun Thakur,Genuine product from cloudtail,5,14-Jul-20,Product was genuine from cloudtail. Did code  verification and  other checks as recommended by different sources on YouTube.  Tastes better with milk. I could notice better workout performance after taking this product. Recommended.,
Aditya prakash shaw,Dosage,4,10 April 2021,Very bad product and this product is duplicate and also Amazon customer care are duplicate they say that we can't return this item contact to importer so please no one waste your money on amazon.,
Amazon Customer,"Try once, if u like, continue.",5,31-Jul-19,"Good flavor, easy on stomach. Since, I am a vegetarian with no egg/meat in diet, wanted to induce enough protein. I take it with water, weekly 4 times only. Time will tell if this really helped without any side effects!!",
Naushin,Worst duplicate protein,1,28-Jun-20,Please don't buy a this product. It is fake and has aatta mixed. Packet is also not original and tampered.No seal nothing. Bottle is half empty.,
Prateek S.,Fake product and Amazon not accepting return.,1,9-Jun-21,DO NOT BUY - DUPLICATE ITEM. This is a fake product. Scratch code not genuine as per bright commodities site. Now amazon is not accepting returns. DO NOT BUY.,
Jyothsna,100% GENUINE PRODUCT!,5,21-Mar-19,"Incredible timing, well packed Amazon product, 100% genuine, Bright commodities approved 100% genuine product.Contains gold scoop, bears hologram on the lid, exactly 2 year gap between manufacturing and expiry dates. I AM SATISFIED!",
Gaurav,Best protein in market,4,4-Nov-19,"ON whey is a well trusted protein supplement  and buying from amazon makes it a lot easier, product looked genuine, taste was really good and difference in body structure can be really seen to others also after having this protrein for 1 months.",
,,,,,
aJ,Best Taste,5,9 April 2015,I'm absolutely loving the taste and flavor. This is 100% original product and best tasting one. I enjoy this whey protein with skimmed milk and one banana. Blend in blender and drink post workout.,
Gobinath,Fake,1,18-Sep-19,I have been using wheys for a few years now. This one is completely fake. Dont risk your health.,
Merville,"I liked the taste, and it mixes with the water with no lumps.",5,18-Nov-21,"I liked the flavour, calm on the stomach. Brand keeps its reputation, very expensive but yes no compromise on quality",
Nitin KUMAR,Fake product,1,6-May-21,"The media could not be loaded.
                
?It is not orginal productAs per it's codeI want a new one",
Dr Siv,Awful flavour,1,18-Sep-21,Very very sweet for a sports drink. Muscle blaze gold is much better,
s ravi varma,"Genuine product, good value for money",5,26-Jul-19,"Good flavor, great absorption, don't cause any bloating, even for beginners bloating will stop after a week or so, price is good aroud 2500rs product is with in expiry date",
Rajdeep,A very good quality product with guaranteed results,5,21-Jul-19,Been using this for 3 months and i have seen definite gains. The double rich chocolate flavour is good and also the powder seamlessly mixed with water after few shakes. Very good quality and i recommend this to every fitness enthusiasts.,
Sourav Choudhary,Fack product,1,11-Jun-22,Fack product my protein I am not satisfied,
Anoop k s,Product almost expired,1,28-Dec-20,Product packing date is almost one year over and there is no expired date mentioned.,
Sharukh Tyagi,Recommended - Genuine,5,7-Mar-18,"This is awesome as it was supposed to be.1. Genuine Product2. No Side Effect3. Natural Taste4. Effective (Not all of sudden,but it is)??????",
Ashish Goyal,Nice Product,5,4-Nov-20,Quality Product with Quality result if taken as per Trainer Advice,
Indhu rajan,The quality of bottle is good but the quantity of the protein powder is shockingly ...,3,20-Jun-17,The quality of bottle is good but the quantity of the protein powder is shockingly less. It is exactly half of the bottle.,
Vishal kumawat,Don't buy guys,1,5-Jul-21,Please don't buy guys when u received demage product then u Face many problems for returning this product ??,
Ram,Good product even for middle age gymmers,4,21 April 2016,Great product. I didn't had any side effects using this product. Am age 46 and do alternate day heavy lifting. I use half-spoon post workout and it increase muscle mass quite well.,
Manan,FAKE!,1,3 April 2021,"Fake product, had white transparent scoop in it and the font on the box was of pink color. Do not buy without analyzing the box personally before buying it.",
Yuvraj Saini,100% Original,5,3-Jul-21,Just received this product and I am 100% happy that my product is authentic and 100% original. I have matched all the points from youtube and yes it is perfect.,
Pran Chandrasekharan,Waste of money,2,2-Sep-21,Poor product,
Daniel,A fake product,1,28-Jun-20,"Product seems to have no taste for the first time , all white print on the box is off colour , ordered the same product earlier and it was much different , no taste of chocolate at all either innwater or in milk",
Spandana,Good result for weight loss,3,10-Mar-18,Good result for weight loss. But before having consult doctor and follow. Because this product not suited to me. Too much heat in body and rashes on face.,
Prabhat,Good buy,5,10-May-21,Received original product. Verified it on ON website,
Hemanth K,Don't get confused with the -ve reviews.,5,10-Dec-21,Had good results after taking it for 2 months before and after workout.,
Kaushal,Good product quality,5,23-Sep-18,Product is good. Delivery is highly standard and I appreciate it.Best quality product. Even you can scan the barcode given on the product and you will find it original.Will again but with more quantity.,
Pankaj Narkhede,Doesn't seem original product,1,15-Jun-21,The flavour is odd and the product os almost near expiry date,
Ashutosh N.,Good product,4,8-Oct-17,I bought double chocolate rich flavour.its taste is nice.this box is not full with protein powder.but its a good product,
CM,Duplicate and unsafe product,1,9-Aug-21,"I have used ON product before, but I am surprised that this time the milk goes bad on dissolving the powder and gives a bad smell/taste. FAKE!!!",
Amazon Customer,Authentic,5,6-Nov-18,Genuine product - I confirmed calling Glanbia that's cloudtail is authorised to sell ON products & all are genuine.  If anything is fishy u can contact Glabia & then they'll handle it.,
Amarveer Singh Mehta,On needs no introduction it is etablished brand of whey protein powder.,5,7-Jan-22,Chocolate flavor very easy to digest. One of the easily digestable protein in the market. Didn't had problem of bloating with this protein.,
Amazon Customer,Old stock,4,11-Mar-21,"Stock of 2019 is being delivered, mfg is 7/2019 and the customer service agent was rude as hell",
divakar,the code did not work,1,14-Mar-22,the code did not work,
Hemank Sabharwal,Had Sever Stomach Ache and Typhoid After Having This,1,29-May-19,As many times I have had this I have had stomach aches multiple times. I do not trust this is original and now I cannot even return it after spending so many days in the Hospital due to Typhoid (which I am sure I have gotten from this fake powder),
Rohith Kathuroju,Good result,5,25-Jul-21,Best result,
Archana Koshal,Container is not sealed. This time it's taste is different. It looks adulterated.,2,4-Jan-21,"Other brands container is covered, but ON's container is not covered",
Rajendra mahanandia,Good,4,22 April 2022,Very good product,
Chandan,Good Product,4,5-Aug-15,i am daily taking this supplement in the morning and have witnessed weight gain. not only that i feel energetic as protein is a necessary ingredient of our daily intake in reqd amount.,
Deepak Bhardwaj,Superb as usual,5,26-Jun-22,"The media could not be loaded.
                
?Nice",
Anurag Singh,Received duplicate product.,2,11-Oct-21,I think I have received duplicate productcoz when you remove the cap of this box there is always a seal which was not there in the box I received,
Amazon Customer,SEEMS GENUINE,5,21-May-18,Checked everything and the product seems genuine. At first was not able to find the scoop inside but little bit of digging and i found it. Lets see the results now.,
Rachit Taneja,Amazon sent old batch product,3,25-May-21,Flavor is okayish...Amazon sent this product with 1 year already past the date of manufacturing.,
Sam,Genuine product,5,18-Feb-20,"Nothing to worry before buying it. Taste a little different than expected but you will like it, Absorbency is normal like all other products, cant expect results solely based on the product.",
Amazon Customer,Fake product,1,29 April 2020,"Fake product, no seal, nothing. Taste like wheat flour.",
Nagarjun,The supplement was duplicate wich is i received.,1,1 April 2022,Because of duplicate supplement.,
Amazon Customer,Genuine product revived,5,29-Oct-18,The delivery was pretty jiffy and therefore got the product next day of ordering. Other than the product is pretty good. The flavor tastes best with milk but isn?? that bad with water. The taste is amazing and would recommend to all.,
Ajay Srivastava,Loved it,5,20-Dec-20,"Very easy to digest, excellent flavour",
rohanrpavan,I suggest to don't buy it causes side effects.,1,31-Oct-19,Very bad product it causes side effects and  coff create chest pain so please don't buy this product,
Harpreet,Good product,4,30-May-22,Good product,
ankit niranjan,authentic product,5,14-Nov-18,"authentic product , to check the it , go to India's optimum nutrition official distributor and validate using the code .",
sami uddin,Fake product.,1,30-Oct-19,"I dont think this is original from ONN because the taste is different from the one which i have used earlier, Bought at dubai Life pharmacy.",
AM,the package checked perfect on seal,5,29-Oct-17,"Got mine yesterday, the package checked perfect on seal, hologram, blue expiry stamp at the bottom, bar code. Finally after checking above tried it & it was genuine for sure",
Dev singh,Good,4,18-Mar-21,Good product,
Amazon Customer,Seal already opened,1,28-Jan-22,Received already opened one plus the taste is totally weird..not like the one which I had ordered earlier.,
Tanmay Joshi,Not much flavour but legit,5,8-May-21,It was totally legit .Get from seller cloudtail india guys.,
Goelcyrus,Good results,4,29-Jun-18,"It has good results than muscle blaze, i dont like the flavour but the results are good.Take ayleast twice in a day.",
