"review_name","review_rating","review_title","review_text","review_helpful_vote"
"Latha g","4.0 out of 5 stars","Good. Worth for its price","Good product.",""
"Amazon CustomerDilip das","4.0 out of 5 stars","Economically products :yes, for long times.","Easy to clean, good quality steel, healthy steel bottles bye bye plastic 👌💪🙏",""
"yogesh patil","3.0 out of 5 stars","Dont buy. Put extra money and buy thermosteel bottle","Product is good.cost is higher side.",""
"Ch.Supriya","1.0 out of 5 stars","Good","Like for product","One person found this helpful"
"Srinivasan","4.0 out of 5 stars","Superb","Nice",""
"Pardeep","5.0 out of 5 stars","SINGLE LAYER BOTTLE","PREVENT FROM DROPS
OTHERWISE IT GETS DENTED",""
"GUPTA","4.0 out of 5 stars","Good to use","Good for usage",""
"DEEPAK SINHA","5.0 out of 5 stars","Milton Aqua 1000 Stainless Steel Water Bottle","Very good water bottles",""
"Ankit kumar","4.0 out of 5 stars","Nice product","Using it for the last 2 months and no leakage problem.",""
"simran sharma","1.0 out of 5 stars","poor quality","the product is local i have seen the product which very poor quality",""
"Kirti quadros","5.0 out of 5 stars","Value for money must buy if you're looking for good quality steel bottle","It's a very good quality bottle. I'm very happy and planning to buy another one for my family.",""
"Amazon Customer","3.0 out of 5 stars","Lid doesn't close","The lid doesn't close properly which causes leak.",""
"partha sarathi banerjee","4.0 out of 5 stars","Not for carrying out door","I dislike the leaking of water when I carried it in outdoor from its lid after fight the lid.",""
"himanshu singh","1.0 out of 5 stars","Very bad quality product, please don't buy this, bad steel quality and always having metallic smell","Very bad quality product, please don't buy this, bad steel quality and always having metallic smell, I purchased 2 different milton bottle both have same property, I am not expected this from milton, now I will not purchase any accessories from milton, ALL waste of money",""
"Kapil","1.0 out of 5 stars","It stinks. Do not buy.","The bottle stinks. After cleaning it for 2 weeks daily, it still has a pungent smell & taste to it which makes it impossible to use the bottle.
My recommendation Dont buy it, go for something else. Even a plastic bottle does better job.",""
"Sumit Bhardwaj","4.0 out of 5 stars","Good Product, Value for Money","Value for money product, is very light weight and easy to carry. Durability is ok but not the best. Dont drop it on jard floor, it gets dimpled very easily.",""
"parmatma das","4.0 out of 5 stars","Great","Great",""
"V.MURUGANANTHAM","4.0 out of 5 stars","Ok","Ok",""
"Neelam Raje","5.0 out of 5 stars","Nice bottle","Thanks .. nice bottle.. easy to clean and leak proof",""
"Miki","3.0 out of 5 stars","Metallic taste","Only problem is a bit metallic taste of water",""
"sattishgowri","5.0 out of 5 stars","Good product value of money","Good product value of money",""
"Harman","1.0 out of 5 stars","Dont buy","Very bad quality … buy at your own risk",""
"rituparna ray","5.0 out of 5 stars","Awesome","Milton is a boss brand. So i always prefer this brand. Nowadays it is necessary to discard plastic bottles and drink in other alternatives. This suits the purpose. Loved it.",""
"S.Jayalaxmi","3.0 out of 5 stars","Okkkkk","Okkkkkk not wow type",""
"yeshvanth","2.0 out of 5 stars","My Review","Outer body seem to be fine but inside at the bottom of bottle looks like finishing is not good, there is slight gap between upper body of nottle and the bottom part of it, this is seen in both the bottles i purchased.",""
"HARISH DAS","4.0 out of 5 stars","Overall good product; worth the money.","Good one, kind of durable but difficult to clean and tends to leak only when the bottle is shaken.",""
"Anush m lokesh","4.0 out of 5 stars","Nice product..","Good and very lightweight stainless steel.",""
"Amazon Customer","2.0 out of 5 stars","Poor Quality ..","Thin sheet of metal used",""
"Amazon Customer","4.0 out of 5 stars","Very good quality product. Recommended for others.","It is a very good product and already used it for few months",""
"Jagmal","5.0 out of 5 stars","Thank u amazon","Thanks amazon",""
"Anjan","3.0 out of 5 stars","Damage piece","It has damage at bottom of the bottle.",""
"Davidraj A","5.0 out of 5 stars","Super. Good.","Super. Good",""
"senthil M","4.0 out of 5 stars","Ok","Ok",""
"R.Vikas","2.0 out of 5 stars","Water is leaking ,but they say it's leak proof","As you can see the video water is leaking ,it isn't leak proof....",""
"Hashtag A (santhosh)","4.0 out of 5 stars","Good product","Good one. Never leaked till now.",""
"Sai M.","4.0 out of 5 stars","Good Bottle","Good quality bottle and extremely lightweight. Slightly expensive. Will update in a few months with a detailed review",""
"Abinashpanda","3.0 out of 5 stars","Not good steel","Milton is scamming now 350 for an iron bottle.
When you open the cap water always drop and wet your pants.
Bottleneck is huge hard to drink.
Not worth for money.",""
"Sasi Rekha R","1.0 out of 5 stars","R u cheating customer","",""
"labanya Acharjee","4.0 out of 5 stars","Good & safe","Good quality, brand value is seen",""
"Amazon Customer","1.0 out of 5 stars","Water getting leaked, minor dents also there ,damaged product delivered, pl don't buy in Amazon","Water getting leaked, minor dents also noticed, worst product, damaged product delivered, pl don't buy in Amazon",""
"Mirae Asset Investment Managers (India) Pvt. Ltd.","5.0 out of 5 stars","Good product","Good product , nicely sealed pack seals",""
"KEWAL","3.0 out of 5 stars","Cap","The inside of cap is made up of synthetic material. Which is not considered good for health.","One person found this helpful"
"Navaneeth N Kamath","4.0 out of 5 stars","Durable","Durable",""
"sanchit bansal","1.0 out of 5 stars","very thin and low grade steel used","the build of the bottle is very poor . the steel used is 304 grade and attracts magnet hence you will get a bit of iron taste in water if kept for long also walls are very thin and will crumble on fall. so i suggest you not to buy it and go for better steel bottles. Dont believe positive reviews and ratings of the product.","One person found this helpful"
"Nitin R.Jadhav","5.0 out of 5 stars","Super","Must buy",""
"Santosh","5.0 out of 5 stars","Good quality","Im impressed with thw quality of milton products be it is mug flask, copper bottle and now this steel bottle",""
"Janhavi","4.0 out of 5 stars","Happy!","Healthier than plastic, more durable than glass!",""
"Kunal Vasani","3.0 out of 5 stars","Quality bad","Not good",""
"Shruti","4.0 out of 5 stars","Nice product","Nice product",""
"Amazon Customer","3.0 out of 5 stars","Good but need more quality","The lid is sticked with glue with plastic in side
It come off after few days",""
"Adarsh","5.0 out of 5 stars","Top stuff for the best price","Great product no complaints at all so far",""
"Dinesh","2.0 out of 5 stars","Water leaking. Not worth the money","Water leaking. Not worth the money",""
"Amazon Customer","3.0 out of 5 stars","Average","Gives metallic taste",""
"Evin 😍","1.0 out of 5 stars","Worst product","The worst product I have ever received from Amazon. It started leaking from the very beginning,😡",""
"Pawan baghel","1.0 out of 5 stars","Single layer bakwas quality, No stay cool water","",""
"Arun V J","4.0 out of 5 stars","Good","It is good product.
Comfortable.
But it'll dent on falling.",""
"aad","3.0 out of 5 stars","Not bad","Not bad product but too thin.",""
"Ponraj","3.0 out of 5 stars","Leaking issue","This product have leaking issue. I am not able to carry in my bag. This leaking issue spoiled my laptop.",""
"raja venkata ramesh reddy","5.0 out of 5 stars","Good product can worth for money","Worth for money",""
"Mayur Mane Deshmukh","4.0 out of 5 stars","Best","Best",""
"Sidharth kumar","3.0 out of 5 stars","Good","Good",""
"Sujata thorat","3.0 out of 5 stars","Fair","Fair",""
"Aqib Siddiqui","4.0 out of 5 stars","VFM, quality as expected","One less star because of Miltons bad quality sticker, which left all gum residue behind, had to clean with WD-40 to get rid of it.",""
"Amazon Customer","5.0 out of 5 stars","Good water bottle","Good replacement for plastic bottles.
Build quality is good
Maid up of stainless steel
Easy to clean as it has wide mouth
It's leak proof
Using it daily for 5 months",""
"Roshni thakur","1.0 out of 5 stars","worst product ever","worst product ever",""
"Udhav","3.0 out of 5 stars","Combatible product","Not exactly that shown in pictures its completely different .",""
"Amit","5.0 out of 5 stars","Nice","Very useful bottel.",""
"Joseph K A","4.0 out of 5 stars","A very good stainlessteel product.","Product is very good, easy to use and durable. Thankyou AMAZON.",""
"DHARMESH KEWAT","4.0 out of 5 stars","Like it...","Good bottle",""
"Madhusudhan","5.0 out of 5 stars","Good quality, light weight, worth","Light weight",""
"arun","3.0 out of 5 stars","Okay product","Normal product,, but high value..",""
"Priyadharshan Gunasekaran","5.0 out of 5 stars","Most Recommended to buy","Excellent water bottle for traveling as well as other uses.some of them written it is leading water for me no dislike and errores.it is leak proof easy to clean.one of the finest water bottle in the market.most recommended to buy this.this is the best choice.extremely liked it.inside cap is plastic and inside bottle is steel excellent","One person found this helpful"
"Dr Bedanta Bora","4.0 out of 5 stars","Its Ok..","Its Alright . But Bottle Base is not stable. Possibility of falling down when water inside gets consumed.",""
"Akhilesh","5.0 out of 5 stars","Op","Op",""
"Savita Phadtare","5.0 out of 5 stars","Leak proof","It’s leak proof & lightweight.so easy to carry around.",""
"Ruby","5.0 out of 5 stars","Nice water bottle","Light weight.. Easy to carry. Just be careful with the lid.. Else it might leak if rubber ring is not properly fitted..",""
"Biresh","5.0 out of 5 stars","Good 1","Must prefer this.",""
"hemanth kumar","5.0 out of 5 stars","Recommended","Using inside office only. Not carried it in my bag with water anytime. I did not find any leakages from the cap during my use. Obviously better than plastic bottle. I did not see any odour or smell even after prolonged use with just hot water used for cleaning.",""
"dinesh","5.0 out of 5 stars","Worth a money","It's really a good product, highly durable and leak proof",""
"satya","4.0 out of 5 stars","Good","Good",""
"P ARUN KUMAR","3.0 out of 5 stars","Good","Good",""
"Ramya Krishnan","1.0 out of 5 stars","The bottle didn't come even one month","The quality is really poor 💩",""
"Mukund Jha","4.0 out of 5 stars","Nice Product","Very good product. It's completely leak proof and easy to clean. Thanks Amazon for on time delivery",""
"Vinit yadav","5.0 out of 5 stars","ossm product","best in quality. feeling happy to receive. packing was good.",""
"Kumar","4.0 out of 5 stars","Good","Good",""
"PM","4.0 out of 5 stars","Value for money !","Beautiful product , perfect design and perfect size, u can not use it as Thermos
But still it's good one",""
"Pankaj Purkait","4.0 out of 5 stars","Average","Average",""
"Manikandan","1.0 out of 5 stars","Very poor quality","Quality is very poor .. it is broken and water is leaking",""
"mandeep","1.0 out of 5 stars","Damaged","The bottle definitely has a good build.
BUT Had opened the package after a long time and realise that there is a small punture in the base of the bottle and water leaks from its. So ultimately it's of no use to me now .",""
"Pinks","4.0 out of 5 stars","Good one","The product is good. But initially it had a smell but after using it for about 4-5 continuously, the smell is gone.",""
"Rakhshindah khan","1.0 out of 5 stars","Useless","Useless product.",""
"M K","1.0 out of 5 stars","Very fragile and easily dented","I bought this one thinking it's a milton.
The bottle is nice and everything but the only problem is it's made of a very thin steel and is thus easily dented even if it topples over the table top and doesn't fall onto ground it will get dented. See picture attached
Not a very durable product one would expect from brand Milton being a stainless steel.
Avoid wasting your money on this.
Instead buy the borosil glass bottle - despite glass it's more sturdier, dent proof and looks class apart.",""
"Prabu","1.0 out of 5 stars","Fake from amazon","I quess it's a fake product which I received I didn't feel it's stainless-steel this is the first time am receiving fake product from Amazon it's not a vessel it's just a metal water bottle in the morning I kept water but after 30 min it's become a cold water",""
"Gautam Sinha","3.0 out of 5 stars","Bottle leaking","The bottle is good but water is leaking after 2 months usage. The bottle once fell from the table and a small dent on the cap caused leaking",""
"Amazon Customer","5.0 out of 5 stars","The Solid One","A solid steel bottle for those who merely want to escape from use of plastics. Do not mistake it for a thermo steel flask, it's just a bottle which stores water but does not maintain temperature. It truly serves a purpose of a safe and durable bottle.","2 people found this helpful"
"Akshiptika","3.0 out of 5 stars","Too delicate","Fragile",""
"Prabha","4.0 out of 5 stars","Good product","Using this product for past few months. It's good to use and little weight",""
"Suvadip Basu","3.0 out of 5 stars","Ok but thickness of steel is a concern","Steel quality is good- composition but thickness is very less, its so thin that even if you pour hot water, the Milton logo printed outside starts to melt. Not sure how Milton has tested this product.",""
"Krish","4.0 out of 5 stars","Nice product","The item is nice and good to use.",""
"G Riyaz","4.0 out of 5 stars","Good product","Fortunately product delivered was not defective . But bottle dent prone ..need to be handled carefully.",""
"Dinesh kumar","4.0 out of 5 stars","Product ok","Light weight..no smell..ok to regular use",""
"Kakali D.","3.0 out of 5 stars","Milton bottle","Average",""
"Akbar","4.0 out of 5 stars","Great purchase","Good one no complaints have been using it for 3 months",""
"Kishu","4.0 out of 5 stars","Good Choose for careful users","Nice quality bottle, made of thin steel so prone to dents",""
"Tushar Jain","3.0 out of 5 stars","Quality is not that much good","Quality is just ok.",""
"Kartikey Kalla","2.0 out of 5 stars","Leakage issue","Bottle leaks even after closing the cap tightly. Just think before buying . I am writing this review after 1 week from delivery.",""
"Amazon Customer","3.0 out of 5 stars","Gets tinted soon, quality not gud","Just an ok ok product. Fell for the first time and there was a tint on it. Steel used is not that gud.",""
"CHARAN GOWDA","4.0 out of 5 stars","Value of money","Nice one. Go for it",""
"Anish","5.0 out of 5 stars","Good quality bottles.","I found the product extremely good. I wanted replacement from plastic bottles and glass bottle and stainless steel bottle were the option. Glass bottle break easily so I bought the Milton fridge bottle . It's extremely durable and good looking . One step to save our planet by reducing plastic use.","One person found this helpful"
"DA","1.0 out of 5 stars","Leakage issue","The product doesn't close properly and keeps leaking slowly",""
"Suresh","4.0 out of 5 stars","Good","The black print on the bottle is going off and it sticks when you hold the bottle at that place. The quality and the finish is good.",""
"Ritik Raushan","4.0 out of 5 stars","Superb","Nice quality steel. Perfect for refrigerator. light weight, leak proof.",""
"Gvbhakar","3.0 out of 5 stars","Ok","Ok",""
"😊","3.0 out of 5 stars","Good","Good",""
"udaysingh shekhawat","1.0 out of 5 stars","Poor bootle","Dislike",""
"RSingh","3.0 out of 5 stars","It smells","The bottle has a weird smell (metallic) even after being used & washed several times.",""
"Balwinder singh","5.0 out of 5 stars","Nice","Good product, leakage proofed, easy to grip, but not thermal bottle it's normal Milton bottle.",""
"Shaurya Patel","5.0 out of 5 stars","Value for money product","Nice Bottle for drinks water",""
"Deepika Dwivedi","4.0 out of 5 stars","Slim","Nice look but not thermoregistant.",""
"Vivek Nair","3.0 out of 5 stars","Not as per the mark","Not as per the description",""
"Reon Antony","1.0 out of 5 stars","Leaking","I gave one star as it started leaking, found that washer on its top had already became loose. Wouldn't recommended the product",""
"Naresh Kumar ankany","5.0 out of 5 stars","Good Quality","Superb quality of this product.",""
"Dharmesh Darji","4.0 out of 5 stars","Nice quality","Nice",""
"RUPAM ROY","5.0 out of 5 stars","good insulation","nice product",""
"Mihir Kumar Beura","5.0 out of 5 stars","So so","Not worth as its price and brand values",""
"k b raj","3.0 out of 5 stars","Different company name of water bottle.","First time using this company product it takes some time to check the product.",""
"Harish","1.0 out of 5 stars","Poor quality","Waste of money. Water is neither hot neither cold",""
"Amazon Customer","4.0 out of 5 stars","Not a flask but a substitute for plastic bottles","Thought it's a flask but it's a substitute for a plastic bottle, so heat will not be retained.
But good one with 1ltr storage capacity.",""
"Anonymous","5.0 out of 5 stars","👍👍👍👍👍👍👍","Very nice product...it is leak proof and easy to clean",""
"Amazon Customer","3.0 out of 5 stars","Improve quality","Good quality but some smell comes out while drink water",""
"NYSER","4.0 out of 5 stars","Milton water ss water bottle","It's a good water bottle in stainless steel that's all. Nothing special",""
"Amazon Customer","2.0 out of 5 stars","Not leak proof","Initially it was good. But after one month of usage it started leaking. Such poor product quality is not expected from Milton",""
"Meena Sharma","5.0 out of 5 stars","Good","Leak proof",""
"Wamika","5.0 out of 5 stars","A must buy avoid plastic switch to steel","Sturdy product, durability, leak proof and easy to clean.
Milton as always the trusted brand.",""
"karthikeyan","1.0 out of 5 stars","Product broken for single drop","Worst quality",""
"Mayank Lohani","5.0 out of 5 stars","Highly Recommended","Ordered it on thrusday, got delivered on Friday. Superfast Delivery. Let me describe it like this :
1. Strong Build Quality
2. Durable
3. Ease to Use
4. You can do exercise for ABS, CHEST & BACK.
5. Tried ABS workout for 3 days. Found some improvement",""
"Sabarinadh","2.0 out of 5 stars","Not worthy","Cool or hot water is not getting lasted. Waste of money",""
"Medini Kumar chouhan","5.0 out of 5 stars","Very good","Very good",""
"Rahil Kamdar","4.0 out of 5 stars","Good product","Nice product.....value for money",""
"Sanjeev Kumar sharma","2.0 out of 5 stars","Not original","Poor quality. I had bought the same product from Flipkart. This is quite different. The plastic of the cap emits strong odour. Moreover it can be seen protruding out of the Cap.
This seems to be a copy of the original Milton product.",""
"Amit sharma","3.0 out of 5 stars","Gud","Easy to clean",""
"V M BHASKER","3.0 out of 5 stars","Ok","It fell few times on floor and bottle got dents and now it doesnt stand on flat surface. Steel quality should have been more. Not satisfied.",""
"Amazon Customer","4.0 out of 5 stars","Happy customer","A quality product.
Milton never disappoints ..
I m glad i bought it",""
"brk","3.0 out of 5 stars","Very thin aluminum","Very thin aluminum, lack of balance, and center of gravity is way up when it's filled fully or fully empty. Easy to drop.",""
"arunsingh","5.0 out of 5 stars","Nice","Good product",""
"Dharmveer Singh Solanki","4.0 out of 5 stars","Go for it","Ok ok product ..",""
"Anilkumar","3.0 out of 5 stars","Average","Average",""
"Amazon Customer","5.0 out of 5 stars","Value for money","Bottle received in good condition, using for hot water and lasting for two hours. It is good in quality and worth to purchase.",""
"Akshaya Rahane","5.0 out of 5 stars","It is true to the description","Cleaning is bit tacky but over all is a best bottle that I have used so far",""
"Narendra","5.0 out of 5 stars","Nice product","Nice product.. price is also good",""
"yash","1.0 out of 5 stars","Purpose not solved","Purpose not solved",""
"Rajib_Tanima","1.0 out of 5 stars","Old used product.","The product was used and dirty with water remnants and hair inside and dirty marks on the outside body. Amazon please take note of the seller.",""
"Aryan","4.0 out of 5 stars","The cap is bit annoying or else the bottle is good","Slightly different from image shown here specifically the cap portion could have been better",""
"Ravi","1.0 out of 5 stars","Bad Quality still overpriced.","The steel cap has an inner plastic lining cap which is not glued properly (see portion of glue on the plastic cap) And when you try to open bottle, steel cap comes to your hand while plastic lining remains with bottle. This is not at all expected from Milton, I have been using their product since ages. Bad Product !!!",""
"Rocco","1.0 out of 5 stars","Waste product","Damage piece received",""
"Pritam Upadhyay","3.0 out of 5 stars","Average product","Product is good but it doesn’t keep water cold for long time...",""
"Tejaswini Gaikwad","3.0 out of 5 stars","Not the best","Smells a bit. Unlike other milton unisteel bottles",""
"Mahesh","4.0 out of 5 stars","Good quality","Stop putting up those red stickers. Have lost the finishing in an attempt removing it.",""
"Akhil Sharma","5.0 out of 5 stars","Good products","Please give more discount",""
"Amazon Customer","4.0 out of 5 stars","Stainless steel bottles from Milton.","I liked this product because it's safe to drink water from stainless steel bottles and secondly it is light weight.","One person found this helpful"
"Amazon Customer","5.0 out of 5 stars","Good product","Good product. Delivered on time.",""
"Reethu Shibhalini","4.0 out of 5 stars","Best budget stainless steel water bottle","Well this bottle is good for carrying in car and for long drives and it has best quality.","One person found this helpful"
"CHOPRAMO","4.0 out of 5 stars","Good quality Stainless Steel","This is stainless steel and hence good for keeping water in the fridge, specially during summers.",""
"swapnil","4.0 out of 5 stars","Good","after 2 months ex working nice",""
"Asra Tahseen","2.0 out of 5 stars","Product is not good","Steel quality is not good and when I filled bottle with water its stinking. cheap steel",""
"Mamta","3.0 out of 5 stars","Good not that good🥴","Not as expected",""
"ARINDAMHARI","4.0 out of 5 stars","2 Qty of both of different quality","I have received 2 nos milton aqua bottles both of different size & quality",""
"Arya","5.0 out of 5 stars","Worthy product","Nice bottle, leak proof",""
"Rohit. Navale","5.0 out of 5 stars","Works well.","The bottle is of good quality and the wide mouth makes it easy to wash. It may leak a little if the cap is lightly closed and the bottle shaken, but then again, everybody knows that.",""
"Anjali","4.0 out of 5 stars","Ok product","Product is ok with price, you can relay on it for everyday use",""
"Amazon Customer","4.0 out of 5 stars","Good product","Good packing,idle for gift purpose",""
"Pankaj Kumar","5.0 out of 5 stars","Very good","Nothing can be better than this. Easy water filling also.",""
"Arpit","3.0 out of 5 stars","Not the best product","Not good for travel.. leakage from cap when shaken... Otherwise okay to use for office or home only.",""
"B.B.Sirisha","3.0 out of 5 stars","Quality good","Quality good",""
"Srinivasarao j.","4.0 out of 5 stars","Nice packing","Excellent water bottle, very responsible packing no dents and easy to clean value for the money spent.light weight durability depends on careful usage of bottle it lasts long if handled carefully.","15 people found this helpful"
"sajjan kumar sharma","2.0 out of 5 stars","Smelling","Bed smell in inside cap plastic.. Will remain ever...so never buy",""
"Palak Patel","5.0 out of 5 stars","100 percent","Leak proof , easy to clean keep cold water cold",""
"Raj","4.0 out of 5 stars","Good","Little bit leaking",""
"shyamkiran","4.0 out of 5 stars","Good product no need of other options to look.","Durability is good",""
"Somsubhra Chatterjee","3.0 out of 5 stars","Need to fix it up.","The steel cap has a plastic part inside which eventually gets separated from the steel cap. You need to fix it up with feviquick.",""
"Amazon Customer","4.0 out of 5 stars","Happy","It's good product",""
"Gautam bagde","4.0 out of 5 stars","Full review","Leak proof and can store 1ltr water so is a good product in just rs 400",""
"Ajinkya","2.0 out of 5 stars","Worst product","Worst purchase",""
"vineesh","4.0 out of 5 stars","Very good","Its really good.",""
"susovankarmahapatra","4.0 out of 5 stars","Excellent 👌😀","Great product 👍👍",""
"ALPV","5.0 out of 5 stars","Good quality steel.","A better choice to compared to plastic.",""
"Hiren","3.0 out of 5 stars","Nice product. I satisfied.","Nice product. I satisfied.",""
"Amazon Customer","1.0 out of 5 stars","Not well built","The lid and body in general seem of low quality. Got damaged in first use.","One person found this helpful"
"Siddharth","1.0 out of 5 stars","Water Leakage","Don't buy this product. High Water leakage after 15 days of usage",""
"Neeraj","5.0 out of 5 stars","Worth to buy.","Good quality steel bottle, only problem was brand name fades easily",""
"Nagireddy B","4.0 out of 5 stars","Good Quality..","Very good product..",""
"P rana","1.0 out of 5 stars","When you boy will pick Up my return it hv been more then one weeek","",""
"Roshan Lal Meena","5.0 out of 5 stars","It's ok","It's ok",""
"Abhay kumar","5.0 out of 5 stars","Awesome !","Silver colour is dull but no scratch will happen on product
On blue sctrach will be made after some time",""
"Abhishek","3.0 out of 5 stars","Damage","Not good. These is patch at bottom of this bottle.",""
"Riya kaushal","1.0 out of 5 stars","Very bad quality","Very cheap dont go for it",""
"MD. AFNAN HASEEB","4.0 out of 5 stars","good product","i like it and its quality is upto mark",""
"Jagadeesh","5.0 out of 5 stars","Excellent product","Excellent quality bottle, thank you amazon and Milton. The price may be bit expensive. But quality wise, it's a better choice.",""
"Amazon Customer","4.0 out of 5 stars","Good.","Regularly using this stainless bottle.
Does not leak, easy to clean and hold.
Happy with the purchase.","One person found this helpful"
"Ansh Mishra","3.0 out of 5 stars","Quality of product is not very good","Product is not worth to its price. Thickness of bottle is not good. Cap is made of plastic covered with either still or any other polished material.","2 people found this helpful"
"Kaushiki Brahma","2.0 out of 5 stars","Bad plastic smell","It gives bad plastic smell after few days",""
"sheru","1.0 out of 5 stars","Worst bottle","I had placed order for silver one they have delivered some other colour beside when we pour hot water the bottle gets hot and water doesnt remain hot for long...",""
"Ankit Panwar","4.0 out of 5 stars","Okayish..","but imp thing is steel is better than plastic
. Light weight. Smooth.. cap is of plastic..",""
"Lalit Mohan sahu","5.0 out of 5 stars","Good One","",""
"N C Narayan","5.0 out of 5 stars","Good quality product.","No issues with the product. Thank you Amazon.",""
"shyamkumar","2.0 out of 5 stars","Don't buy it please","Not nice and not high quality products",""
"Dharmender jskhar","4.0 out of 5 stars","Pani ghrm nhi rhta","Pani ghm nhi rht",""
"Suriya Narayanan","5.0 out of 5 stars","Best and easy to carry","Yes it was a good product and but not suitable for hot water.",""
"Tanveer khan","1.0 out of 5 stars","Very good","Very good",""
"Krisht","4.0 out of 5 stars","No damages & new unboxing product. Thx for gud service","Really good .I like this product",""
"peeyush","4.0 out of 5 stars","Good quality bottle","A good quality non-thermal, leak proof and easy to clean stainless steel bottle.",""
"Preshit","1.0 out of 5 stars","The Insides Smell Like Poop","The bottle quality is good and looks sturdy, but *both* the bottles that I ordered have a terrible smell on he inside like the were used to store something rotten for too long. In spite of repeated washes over 10 days, the smell has not gone away, so we haven't been able to use these for drinking water at all. Now we just use them to water small plants. Total waste of money.",""
"Amazon Customer","3.0 out of 5 stars","Cheap stickers on the bottle.","Stickers on the bottle has spoiled the shade of the bottle. Do we really need such cheap stickers on it.",""
"Vighnesh","5.0 out of 5 stars","Good","Good",""
"Amazon Customer","3.0 out of 5 stars","Does not look like new one","Average",""
"kahkesha","4.0 out of 5 stars","OK product","Light steel which can easily distort it shape",""
"V.S.RAJU","1.0 out of 5 stars","Water is leaking.","Product is not good because it was damaged.",""
"JJ10","4.0 out of 5 stars","A day to day use bottle","1 ltr bottle.... absolutely good for day to day use ......very easy to clean........and it's durable",""
"Krishna Kumar","3.0 out of 5 stars","Too tight to open easily","Good- Leak proof if closed tight
Bad- Difficult to open when closed tight",""
"sana Nazakat","3.0 out of 5 stars","Nice","Nice",""
"saif motorwala","5.0 out of 5 stars","Very bad quality","the mouth of the bottle was so sharp and blunt that it cud hurt anyone",""
"Maniram kulhari","1.0 out of 5 stars","Milton water bottle","It is totally damage product please don't buy it.",""
"Anand","5.0 out of 5 stars","Good Purchase.","Good product.",""
"Rahila khan","5.0 out of 5 stars","Nice product","Nice product",""
"Amrita","3.0 out of 5 stars","very bad smell coming from cap","Product is good but very bad smell coming from cap.",""
"Sridhar","1.0 out of 5 stars","Water inside the bottle smalls like plastic and tastes weird.","The design of the bottle cap has plastic in it. Perhaps to reinforce the cap and to make it leak proof. The problem is that the water smells like the plastic sole of a new shoe. It also tastes weird. I guess this is a flaw related to the design. I do not recommend buying this product at all. I am stuck with six of them. Trust Milton would benefit from this feedback.",""
"kumar","5.0 out of 5 stars","Nice product 👍","Good quality & packaging",""
"Tapas","3.0 out of 5 stars","Not the best quality from brand Milton","Water leakage started after I accidentally dropped it ftom my hand. Although 1 year warranty mentioned in the pack but warranty can't be availed.",""
"VN","4.0 out of 5 stars","Not so good quality material","It's not thick and hence can be easily damaged.",""
"raghu rajur","4.0 out of 5 stars","Nice buy","Leak proof",""
"Rameswar Sahu","4.0 out of 5 stars","Best for home & office usge.","Good product.",""
"Bimalesh Maji","4.0 out of 5 stars","Good","Good product",""
"reji karunakaran","4.0 out of 5 stars","Good","Overall good product",""
"9848062606","4.0 out of 5 stars","Ok","It's ok",""
"Amazon Customer","4.0 out of 5 stars","Good. Quality","Nice product and steel is non magnetic also. Thanx Amazon.",""
"Hasmukh","2.0 out of 5 stars","Average product","Easy to clean",""
"Dharmendra Bhadoria","5.0 out of 5 stars","Simply superb","Perfect freeze bottle",""
"Harendra singh","4.0 out of 5 stars","Buy","Good product",""
"Prasanna Mehare","4.0 out of 5 stars","Good buy","Good one",""
"Arun","3.0 out of 5 stars","Super","Super",""
"nikhil reddy","4.0 out of 5 stars","Good","Good one",""
"Anil Kumar Singh","4.0 out of 5 stars","So so","Very good product but only one issue that miton print removes after 2 month",""
"Vaishali","5.0 out of 5 stars","V good. Happy","Good quality. Has not rusted. Leakproof. Goes into dishwasher easily.",""
"Anand Kumar","2.0 out of 5 stars","Waste of money","It's one of the worst priduct i had ever bought from Milton. It is totally waste of money and it
is also not comfortable for drinking due to it's
big opening mouth. Very worst product and totally waste of money.",""
"Akshat","5.0 out of 5 stars","👍👍👌👌","best quality",""
"Amazon Customer","5.0 out of 5 stars","Quality","Quality of the the product is good.",""
"Vivek Singh","3.0 out of 5 stars","It 950 ml actually","Not sure if I want to return it or not I mean it's just a bottle",""
"rakks","5.0 out of 5 stars","Good quality","Good quality. I recommend",""
"Arpita Choudhury","1.0 out of 5 stars","Started leaking","It was very very good and leak proof till 1 week. Then suddenly it started leaking. Not good",""
"Chandrani Raha","4.0 out of 5 stars","Liked it","Liked it",""
"Ashish Potdar","4.0 out of 5 stars","Good Product","Good Product",""
"Sujit kumar","4.0 out of 5 stars","Very Good","Very Good",""
"SRINIVASAN","4.0 out of 5 stars","Usefull","Good product",""
"OM INFOTECH & BUSINESS CENTER","5.0 out of 5 stars","Very nice","Like this quality",""
"Arun kumar","5.0 out of 5 stars","Bad","Badhiya nhi hai bhaiyo ise mt lena",""
"Bimlesh Kumar Sinha","4.0 out of 5 stars","Great product","Good product. Odor free. Easy to clean. Leak proof. Good for fridge. Easy to carry.",""
"Shridhar S","4.0 out of 5 stars","Its not stainless steel","Ok product",""
"YOGAGURU","4.0 out of 5 stars","Good product","Good product.",""
"Pushpendra PRAJAPTI","2.0 out of 5 stars","Bottel","Not a colling water",""
