"review_name","review_rating","review_title","review_review_text","review_helpful_vote"
"yash Sharma","4.0 out of 5 stars","Hope it would have got 3 cameras in 80K price tag","This is an excellent device coming from my iphone 8 this is huge upgrade in terms of everything. Blindly go for it.",""
"Dhiren Jain","4.0 out of 5 stars","Best in range","All specifications are perfect",""
"Vikas saxena","4.0 out of 5 stars","I found a not sealed box","Ummed se thoda kam hai","One person found this helpful"
"Amazon Customer","5.0 out of 5 stars","All over satisfied","Good , butter smooth oled display and touch , camera is good , pixel doesn’t break while zooming in. But for the price could have included ear phones atleast. Adapter and charger limitation is accepted .
Camera is pixel clear captures natural tint , no fake makeover .
Good audio and video feature.
All over satisfied.","3 people found this helpful"
"draj059","4.0 out of 5 stars","Great phone","So far loving my new iPhone.
The battery life is good. Just need to charge once a day. I used my camera for recording videos for 2-3 hours , still the battery survived through out the day.
Camera is good.",""
"Muskan","5.0 out of 5 stars","Excellent Product.","","One person found this helpful"
"Rashmi","4.0 out of 5 stars","Colour chipping issue!! Do not buy unless Apple accepts it","Do not buy.. there is colour chipping issue around camera. And it is not happening with me only.. so many complaints are there for this but apple is not bothered about it. They are not replacing product (its only 8 month I am using it) such cheap quality was not expected from apple. Disappointed!!!!","9 people found this helpful"
"RATIKANTA PRADHAN","5.0 out of 5 stars","Lovely phone","Very beautiful and fast processing phone","10 people found this helpful"
"DEV SA","5.0 out of 5 stars","IPHONE 12 Clicking good pictures","have recently purchased an iPhone 12 here's how you can click some stunning looking night shots
Clicking good pictures at night required professional-grade cameras earlier, but now people can click some really good photos using just their smartphones. And this goes one step further with the new Apple iPhone 12 series.","4 people found this helpful"
"廖树邦 sunny","1.0 out of 5 stars","Like a used iPhone","Video call screen is not clear, there is noise……does it a new iphone? I doubt it.",""
"NAVNEET TALWAR","4.0 out of 5 stars","Just for a status symbol","Size is small ... Face ID lock is gud. Rest same as earlier models",""
"Yousuf shaikh","5.0 out of 5 stars","Asowme","","One person found this helpful"
"venkateswarlu","4.0 out of 5 stars","Security","Everything is working good .",""
"Stephen Dhilip Sundar R","5.0 out of 5 stars","Excellent camera, performance and quality","Been using apple for the past 10 years. Quality top Notch.
Best camera u shall ever have on an mobile phone.
I am giving five stars for the product, amazon delivery. Completely satisfied with the product.
Worth every penny u spend",""
"Dhaval Doshi","5.0 out of 5 stars","WHAT an upgrade from iPhone 8! Feels amazing in the hand! Like a bar of glass!","Great battery life. Love the white colour. Blue is super hyped. It is a finger print magnet.
There’s something about the design of these phones. No android phone can match the aesthetics. Except some curved display screens.
Upgraded from iPhone 8. I am very very happy.
Wish it was a bit cheaper. Bought with 6k instant hdfc discount and 6 months no cost emi.
128gb.","12 people found this helpful"
"BHARADWAJ","5.0 out of 5 stars","Value for money at that price","Excellent product and value for money at that price way better than one plus pro 5g at that price because iphone 12 supprts all the band's of 5G and camera screen are as usual excellent privacy always built-in for apple products 👍","2 people found this helpful"
"Karanjeet","5.0 out of 5 stars","Delivered on time excellent product","","2 people found this helpful"
"Aneesh","1.0 out of 5 stars","Product is not good","Fingerprint is not working, battery life is very poor. Some time face recognition doesn’t work for me",""
"Rajeev Raghavan","5.0 out of 5 stars","Iphone 6 to Iphone 12, Wauhhhhhhhhh","What an upgrade for me from my almost 6 year old Iphone 6 to Iphone 12. Worth every penny. Bought the 128GB blue here on Amazon and got delivery in just 3 days. Perfect phone for my needs and feels solid when holding it on hand. The display and feel - So much satisfied with Iphone 12
VERY VERY HAPPY.",""
"Ambuj Mishra","5.0 out of 5 stars","Awesome device!!!!","As usual a fabulous product of Apple and it just performs well and mind blowing. It is so smooth an best part is it is very light compare to previous models. Design wise awesome and it fits perfectly in hand. Camera is superb as always. Great and fast performance. I am loving it. Go for it😄😄",""
"PR","5.0 out of 5 stars","Awesome Apple","This iPhone is awesome in all dimensions :) Go for it",""
"Amazon Customer","5.0 out of 5 stars","Apple!","The name is enough. Nothing to say more","One person found this helpful"
"ANUPAM MITTAL","5.0 out of 5 stars","📲","",""
"Naveen","5.0 out of 5 stars","Amazing phone","The phone is amazing no doubt. I got 128gb white for 72K during prime day it's best to wait for any sale or price drop
Amazing camera
Awesome display
Battery is good",""
"Sumanth naidu","4.0 out of 5 stars","Superb","Nyc superb but lightly heating phone phone was awesome battery backup superb 30 min to full charged",""
"Vijin","5.0 out of 5 stars","Go for it!!","I was switching from Andriod to iOS. The experience is too good. The camera quality and overall performance are excellent. After all, it's an iPhone! expectations meet :)",""
"Sujan koilakuntla","3.0 out of 5 stars","Regret my costlier purchase","My old Poco F1(15k) is much better in all aspects. Iphones are just for show off. Battery life sucks. Auto brightness glitch is not solved even after 9 months. There is no finger print reader. Whatsapp has no backup between android and IOS you will loose everything if you switch between them.","One person found this helpful"
"Rj","5.0 out of 5 stars","Smooth touch compared to other iPhones","Have been using Apple products for more than 7 years now.. Good phone with good battery back up.. display is stunning.. Face ID works really well no troubles so far.. really smooth to use..",""
"Subbu","4.0 out of 5 stars","Good","Good",""
"Timothy","4.0 out of 5 stars","Good product","Good product, a bit pricey.",""
"Ravi","5.0 out of 5 stars","One word Fantastic","Superb switch from IPhone7 to iPhone 12 after lost my phone I used android oneplus nord CE for couple of weeks. but finally landed to iPhone camera superb very smooth",""
"Shivu","3.0 out of 5 stars","Scratch near charging point","Scratch near charging point","5 people found this helpful"
"MIDHUN CHAKKARAVARTHI","2.0 out of 5 stars","Touch not responding","Problem arrived on the next day after the return window closed, Touch not responding while on a call not even to cut or hold the on going call, after 5 to 10 times pressing the side button then only its responding, given to apple service they sending it back to apple india in Bangalore, near about it takes 5 to 7 working days, feeling frustrated😩",""
"Bhupinder Singh","5.0 out of 5 stars","Good","",""
"Sourav chakraborty","5.0 out of 5 stars","Not upto the mark but ……???","After my 7 days of usages I found out that the batty life is not so good while on jio mobile data …. Other wise its a amazing device and after the offer on amazon i got 128 gb version ₹76k… satisfied with this…🤩🤩🤩🤩🧐","One person found this helpful"
"Shiva","4.0 out of 5 stars","Display","Not too good but u can stay with iphone 11",""
"moazzam sameer","5.0 out of 5 stars","Decent buy.","Really happy with the purchase. But 2x zoom missing does make a little difference. Performance, Display, camera and battery are on point and that what matters the most to me. I was planning on buying the pro model but this year it was insanely expensive. So Bought this and saved some money for decent accessories. The value for money is great for the 128gb version.","19 people found this helpful"
"Rajat Mittal 1986","5.0 out of 5 stars","Truly Apple!","First of all the look and feel of this phone is absolutely amazing...this is such a welcoming change after using an android phone for about 18 months...although a higher refresh would have been nicer but with this gorgeous screen you don’t really miss it...all in all a great phone !!",""
"Akanksha Rewatkar","5.0 out of 5 stars","Go for it","Using this since 2 months. So far phone is working good. Never going back to Android again!!! 😍😍",""
"Keshav","5.0 out of 5 stars","Best deal, Got it 128gb for 75900 😁😁","Well i dont have to say much because my phone is working perfect so i would just say go for it if you really think you can buy this phone. Dont worry its worth having it. Its been almost 1 month and i havent face any issue even battery backup is fine for me.","2 people found this helpful"
"Sunny Uppatla","4.0 out of 5 stars","Doubtful product","What i am feeling is there is some difference buying products on amazon and stores directly. I have compared with my friends battery life has huge change she gets a day and mine ends within 7-8 hours","6 people found this helpful"
"Rajat Verma","3.0 out of 5 stars","Not suitable for reading anything","Screen is crisp and clear but as soon as there is scrolling, text blurs. Apart from this big drawback, rest everything is great.","2 people found this helpful"
"pavankumar","4.0 out of 5 stars","The best phone","Bought iphone 12 this month may 5th, phone is amazing and working super cool.",""
"Adesh Chauhan","5.0 out of 5 stars","Mind blowing Apple I phone 12","It is my first Apple Phone and simply I am loving it from the moment I have it on my hand. The picture quality on screen is so cool that it is very soothing experience to my eyes. Perfect buy for me.","One person found this helpful"
"Vikas Parikh","5.0 out of 5 stars","iPhone 12👍👍👍","Excellent delivery by Amazon ! Just in 1 day iPhone 12 reached to me. Seriously undoubtedly excellent performance in every aspect like Screen Quality / Camera Performance / Built Quality / Battery Performance 👍👌✌️
Go for it blindly if u hv this budget 75k !",""
"Amazon Customer","1.0 out of 5 stars","It’s not working","Please call me it’s not working after 4 months",""
"arpit sharma","5.0 out of 5 stars","ios isn’t better than android","ios is ver very different and limited to an certain extent.heavy android users gonna regret about so many things.","86 people found this helpful"
"Rahul kanda","5.0 out of 5 stars","Gud","Gud",""
"Tilak","4.0 out of 5 stars","Could have been better","Nice phone",""
"Haris Khan","5.0 out of 5 stars","Fabulous performance","I really liked the design of my iphone 12 the camera, gaming performance through the A14 bionic chip is mind blowing, the battery life is also good . From my point this iphone is worth buying",""
"Tapan Kumar Behera","5.0 out of 5 stars","Very good experience","Phone is an all-rounder. It's a very good experience be it camera, speakers, display, battery. Coming from an android device, iOS feels more stable and fluid. Some issues are there with the software but they can be ignored.",""
"Ivana","5.0 out of 5 stars","♥️","The only point I would like to highlight is the battery back up which is very good in this phone compared to last models !",""
"Nishat","3.0 out of 5 stars","If selling a product the take the ownership end to end.","I am writing this after 4 days of extensive use. Phone is good but as comparing to picture quality most premium phones have better than this one. And one more important thing if you are purchasing it through Amazon then replacement/return policy doesn’t apply here directly with amazon, you have to contact Apple for any sort of issue. Even if the phone is 1 day old.","25 people found this helpful"
"Prashant H","5.0 out of 5 stars","Perfect and flawless phone","What a masterpiece this phone is! Coming from a flagship Android phone, this looked like a big leap. It’s totally next level. What a display, what an operating system, what a processor, what a camera! This is not only a phone but master of all. Wow. It’s an engineering marvel from Apple Inc.","One person found this helpful"
"BJR","3.0 out of 5 stars","If you don't have an iPhone, u don't have an iPhone","Just reached today. So far so gud. Fast snappy and it's so lightweight, and the camera by God how can they manage to fit in such a Power ful camera sensor inside the phone, seriously an engineering marvel.","2 people found this helpful"
"Ashish Dhaundiyal","5.0 out of 5 stars","Best phone for camera lovers","Iphone is Iphone no comparison with any other phone.
Best camera.
performance is good but battery is a bit negative side of this",""
"Ravinder Singh","1.0 out of 5 stars","Overheating","1. Phone gets overheat while charging with specified 20w charger
2. Heatimg issue observed even while calling
3. Now the worst thing is that phone reached to the sellet by 19th and still return hasn't been done yet
Everytime I called the customer care, I was informed to wait for the return for more 2-3 days. Its 29th today.",""
"joy chauhan","5.0 out of 5 stars","Great iPhone","Great iPhone, would have preferred it with at least 10k less but it’s iPhone what can you do? They will ask for premium price for their products but at least they provide you fantastic software support for long time",""
"Parikshit Sharma","5.0 out of 5 stars","Just wooooooow","What to say about it
Just switch from Android to iOS
Just wooow thats amazing one
Love the product
I already used sum of the product of Apple",""
"Aswanth Raveendran","4.0 out of 5 stars","Good to handle ,but face detector isnt that good","Battery and camera are good",""
"Bijaya Kumar Samantaray","3.0 out of 5 stars","Apple should include a charging adapter as it is an expensive phone.","Apple should include a charging adapter as it is an expensive phone.
Phone hardware is very good and looks premium feel.
Camera is not good as compared to Samsung galaxy S series. Even not good as old Samsung S series like S10.",""
"Krishnan","5.0 out of 5 stars","My phone Iphone","Iphone is iphone and the buying experience was also good
Delivery on time
Well packed and feels good when u use the phone daily and gives all reason a worth to buy",""
"KAPIL KUMAR NAGWANSHI","4.0 out of 5 stars","NA","NA",""
"Mahendra Singh Chouhan","4.0 out of 5 stars","Touch screen","Battery life is average",""
"Amazon Customer","5.0 out of 5 stars","Amazing!! Amazing!!","Loving it! But cant seem to get over my 5 yo 6S which still in fabulous condition except for the battery life.
Iphone12: Amazing look & feel, yet to explore the finer aspects.
Super quick delivery, ordered @ night, got early mrng delivery day.",""
"Parivesh Rakesh","5.0 out of 5 stars","when confused between a pro and this","if you're not a avid photographer, go for this one.. save some money and add a pair of airpods.
Genuine seller.","One person found this helpful"
"Srinu","1.0 out of 5 stars","Worst cellular data","Cellular data is not working",""
"Deepak Venkatesh","1.0 out of 5 stars","Totally disappointed with the product","The product is dead on arrival. It's not powering on. When we reached Amazon on that....they are saying its not Amazon responsibility on refund or replacement on the product. Since it's a brand new phone Amazon should take the entire responsible on the damaged product but instead they are redirecting to Apple Service centre...NEVER BUY COSTLY PRODUCT IN AMAZON...","3 people found this helpful"
"Elumalai","5.0 out of 5 stars","Awesome 👌🆒️","This is my 1st ios device. So I was amused to use this...
Battery life is awesome.. when it is compared to other iphone...
ND I was surprised while using this iPhone only because of the display..",""
"Prasenjeet","4.0 out of 5 stars","Worth it","",""
"Prof Dhillon","5.0 out of 5 stars","Timely and safe delivery by amazon and wonderful Apple product as usual","I was aware about Apple product but was scared to order online, however i have a great experience with amazon to buy many expensive products therefore ordered and amazon kept my trust intact. Apple IPhone is awesome as usual good battery life, quick processor and nice performance.",""
"Mohamed Asarudeen","5.0 out of 5 stars","iPhone 12","Phone is good but Their is no Apps for new application like torrent it is all the way secured also everything depends on money for all the apps
Camera is wonderful and look wise too good","One person found this helpful"
"Mohammed saeed ul zafar","5.0 out of 5 stars","Iphone12","Great phone i was an android fan since the beginning and when i saw the iPhone 12 i wanted to switch to ios. This is the best phone to buy right now",""
"Santosh","5.0 out of 5 stars","Awesome!! 👍👍😎😊","Awesome is one word! My first iPhone! It is pricey, but you have to pay a price for class!! Just got it yesterday, will give a thorough review after a few weeks, but my initial impression on checking out a few features, it really blew my mind!!","One person found this helpful"
"Subi","5.0 out of 5 stars","Excellent phone","Aswome phone",""
"Ghanshyam Mukati","4.0 out of 5 stars","Very nice phone, light weight, display, processing excellent","Excellent phone",""
"sidhesh.kumtekar","3.0 out of 5 stars","NA","The colour of the phone is very light with which I am not impressed. The phone gets heated quickly which I didn’t expect, Face recognition not working when mask on.","One person found this helpful"
"Laveena Fernandes","5.0 out of 5 stars","Apple products are Amazing!","I am always a fan of Apple products. It cant be compared to any Android phone. The Blue color is amazing and the screen touch, picture quality, weight, looks, battery life is really good. Don’t think twice, just go for it.",""
"Dr N Mariappan","4.0 out of 5 stars","Simply Amazing","Nice model from iPhone all features are good except battery and its go up to maximum 8 hrs",""
"Thanmai","5.0 out of 5 stars","Supreme I phone...!!!","All I phone models are premium phones, coming to 12 price is to costly, but the quality is awesome.
Camera, display, processor and look of the body is premium.
One think I don’t like is, phone is not coming with adapter and the headphones
Over rating for this iPhone 12 🌟🌟🌟🌟🌟","2 people found this helpful"
"tinku krishnan","1.0 out of 5 stars","Exchange simply does not work!","The review is about Amazon exchange scheme. Everything else was perfect. The delivery agent came, checked my old phone and tried to initiate exchange. As told by him, verification of exchange link was supposed to appear on Amazon app on my old phone or any device with the same login. It simply did not appear. After three phone calls with service centre and discussion with delivery team supervisor, I had to either forgo the exchange or cancel the order. I went with fully paid purchase. The delivery person informed that this was happening frequently.Amazon needs to really work on it. I had to uninstall, reinstall, reboot etc, n number of times. No use.","3 people found this helpful"
"Sapana Konthoujam","1.0 out of 5 stars","Very poor service especially related to buying mobile","Dear Team,
Please be informed that I am very dissatisfied by the services provided by Amazon buying this much expensive mobile from Amazon is not worth I believe they always provide us the defected item I recently purchased I phone 12 and it is creating a problem while switching on had to try multiple times for the same and this problem occurs every time whenever I switch off the mobile last time also the same issue occur when I bought my One plus 08 there was issue related to camera image was getting blurred each time and then I have to replace it I think Amazon just sell defected items I am very angry and wil take it forward because it's second time in a row and will never suggest any one to buy mobile especially from Amazon and also want to post the review about this on social media","153 people found this helpful"
"Prince kumar","5.0 out of 5 stars","Unbeatable and amazing","As expected from apple the iPhone is unbeatable, it’s performance never seize to amaze me and thanks to amazon I got it in lockdown within the time period. Thanks to Amazon the price deal was really good.",""
"Sourabh Sharma","5.0 out of 5 stars","Really Amazing Phone","This is my first iPhone, before it I used One Plus 7T. Believe me iPhone 12 is just amazing device. Everything is perfect, no complaints for anything. Display, design, camera, battery all are amazing. Im really happy for my iPhone 12. Superb Phone 👌🏼👌🏼👌🏼😍😍😍",""
"Chronos","3.0 out of 5 stars","iPhone 12 screen is a major bummer!!","It’s such a disappointment. I have been using iPhone since it’s first version.
So naturally upgraded from iPhone X to 12. But the excitement quickly died down as soon as I saw the screen. There is a warm greenish tint to it which makes the colors off.
Selfie portraits aren’t good either. Too sharp for portraits. May be I should have gone for the 12 Pro Max as it handles much better because of the telephoto lens.
Hope apple fixes the screen issues soon","6 people found this helpful"
"Kanti dhruw","5.0 out of 5 stars","Butter smooth performance","Perfect phone for gaming multiple task
But overpriced
Overall good phone
Performance 10/10
Battery 8/10
Camera 8/10 front camera disappointment overall good camera
Gaming10/10
Screen 10/10
Heating common",""
"Rehan Akhter","3.0 out of 5 stars","Not worth of money","While charging, it gets heated.. it’s EMV, it is not worth of money, it’s display get zoomed in while lock the phone, it is tough to un lock while zoom in display",""
"CliffordGlasso","4.0 out of 5 stars","No charger is disappointing","It's iphone
Only disappointment is they don't give a charger along",""
"Manas Rana","1.0 out of 5 stars","Very bad","I have purchased it in 6th months before, but battery health down very faster",""
"Mona","4.0 out of 5 stars","Price Fluctuates a lot","No offers for SBI or Citibank cards.",""
"Yogesh Trivedi","5.0 out of 5 stars","Nice overall except few things","Nice. Recommended. Go ahead and buy.
Prons- 90 Hz refreshing rate is missing. No audio call recording and only 3 days call history",""
"Aakash Deep","4.0 out of 5 stars","Best product 😇","Thank you Amazon to bring me such a best product !",""
"RAMAJI VANJARA","5.0 out of 5 stars","Super Fasility","Super job",""
"rahul roy","4.0 out of 5 stars","Battery charges upto 80%","Battery charges only upto 80%","One person found this helpful"
"Prashant Moily","5.0 out of 5 stars","Awesome Experience","I am a first time user but must say actually a privilege to own one and an awesome user experience.
On time Delivery and to the mark packaging from Amazon also added for the smiles at my place",""
"Amazon Customer","5.0 out of 5 stars","Nice in terms of delivery","Delivery was perfect. Order at 9 pm and got this early morning 9 am. Trying I phone for the first time and so will take some time to post my review",""
"Dev Ramnathan","3.0 out of 5 stars","Very powerful device but battery life sucks","If you're someone who is a heavy user then it sucks. Even for a new device you have to charge it twice a day. Camera is pretty good. Considering the current pandemic and face mask situation. Hoping apple would come up with a fingerprint authentication for the upcoming models",""
"nithin soman","5.0 out of 5 stars","Regarding the product and delivery it was fantastic to purchase the item from Amazon great service","Great creation by apple.. nothing much to say . Beautiful piece of art…",""
"Madhan C.","5.0 out of 5 stars","Loved it!!","Battery is draining very fast while using internet. Camera is good. Awesome images. Battery should be increase",""
"Arjunjith","5.0 out of 5 stars","ok","ok",""
"Jayant Maurya","5.0 out of 5 stars","Best phone","",""
"meenal","5.0 out of 5 stars","Awesome phone in terms of battery, build, camera quality and yes, the colour :)","Loved it absolutely , I mean apple is making the phone smoother and improving the build and camera quality so it’s better than the previous version. Other than that, I can not see any major changes but then that’s how apple has been :)","One person found this helpful"
"Chandra Sekhar","5.0 out of 5 stars","Perfect and genuine","Perfect phone",""
"Paras","5.0 out of 5 stars","The Beast","This was my first switch to an ios device after using an android untill now. And I am not disappointed. The build quality, the responsive touch, the display, the camera, the battery life are just exceptional.
Been using for about 10 days now, and consistently giving around 7h of screen on time.
The camera is just way too good. Espeecially the night mode impressed me a lot.
Only issue when switching from Android to iPhone I encountered was to be not able to restore my whatsapp chats. There are no official/free ways for doing this.
The phone is simple amazing.","491 people found this helpful"
"Aravind Madineni","4.0 out of 5 stars","Good","Good",""
"Pallavi Katyal","1.0 out of 5 stars","Bad customer support and no support on replacement of defective product received .","I ordered iphone 12 blue,128gb started showing issues. It was getting restarted on its own after every 15 mins or so. The display started lagging and and at times the device was completely unresponsive leading to unexpected shutdowns all this happened in merely 5 days of using it. And upon contacting customer support I was informed by Ms. Tuleshwari from support team to connect with Brand and in case the brand is ready to issue a service report they will initiate the replacement request. Upon getting the service report done from Apple service centre the support team staff Mr. Sanjay on outright basis denied replacment stating we cant issue basis the report. It's the brand who will have to be contacted. Customer service and support is clearly lacking with a brand like Amazon. What's the point of claiming of a free 7 day replacement policy when the support team clearly twists it as per their own convenience. I have had a experience of lifetime and would highly recommend no one to buy from Amazon. They are best at not helping consumers whatsover. #patheticpolicies #poorcustomerservice",""
"Guddies","2.0 out of 5 stars","Not good","Not good very poor performance",""
"Chetan sharma","4.0 out of 5 stars","Osm","Bill not available",""
"Bhanu Teja","5.0 out of 5 stars","Super","Super",""
"bharath prabhu","4.0 out of 5 stars","iPhone 12","Average battery life only for iPhone for 1 day or below .Value for money is too expensive only but the quality is good comparing with the price .","One person found this helpful"
"Amazon Customer","1.0 out of 5 stars","Bad quality product. Lame display, slow OS.","The product is low quality and lacks finishing, the interface is no near the cost. Seems like a second copy. Disappointed.","One person found this helpful"
"RRS","5.0 out of 5 stars","Great experience","I don’t think one would regret after having iPhone 12. Yes, the battery life would have been better, but is acceptable. It’s nothing like draining in no time. One would really enjoy this latest model by Apple rather than counting on battery life.",""
"Konuru venkata siva kishore","5.0 out of 5 stars","Value For Money 😍","I like the phone so much battery is so good but it doesn’t has a fingerprint sensor but face lock superb fast and its cool.",""
"prashanth","5.0 out of 5 stars","Best iPhone to buy","Moved from oneplus, this phone is perfect on hand with a smaller size. Battery backup has been great. After some minor tweaks, I get more than a day of back up. The camera is better than the one plus.",""
"harsh gupta","4.0 out of 5 stars","Good","Overall good but camera and battery life not as good as iphone 11pro",""
"Balaji","5.0 out of 5 stars","Ringtone sound decreases after 2,3 seconds. Is it normal?","Product is good. And in the phone when you get call the ringtone sound initially very high after 2,3 seconds the ringtone sound will decreases in my phone, is this normal in iPhone 12 or my phone is fault piece. Please anybody clarify my doubt. Thanks in advance",""
"sathavahana","3.0 out of 5 stars","Nice product","Good product, bringing back the old 5s style advantage.
But, Moved from pixel3 to iphone12.
I felt pixel is better than iphone 12, only best part of iphone12 is ios
Expected more from Battery
Camera is good, build quality is great","One person found this helpful"
"Legendary","5.0 out of 5 stars","This phone will definitely address your needs!","I want to say that battery backup of iPhone has been considerably improved. Everything is the best. If you're a average user who only indulge in social life and little bit of photography no need to go for Pro/ Pro Max, iPhone 12 will do the justice.","2 people found this helpful"
"Chandan Agrawal","5.0 out of 5 stars","Camera and display are the key takeway","Using phone from last month,, no issue as such., Find camera and display is very good…",""
"Arcchayan Bhattacharyya","5.0 out of 5 stars","Premium is the feeling!","Fantastic Device . Battery lasts around 6hrs if used continuously . Camera is fabulous. Much thinner and lighter than iPhone 11. ✌🏻",""
"Swaroop Mandlik","5.0 out of 5 stars","I phone 12 product red 128 GB review","Well I must say this product red color looks very trendy. I'm impressed with the battery life of the phone. As you know it doesn't come up with charger, you do need to buy separate one. Still I think its value for money","One person found this helpful"
"Corina","5.0 out of 5 stars","iPhone 12 is the best rated phone to me and my family","Perfect screen size, maximum features and gives a feel good factor to use it.",""
"Kaushal K.","1.0 out of 5 stars","The worst camera !! Money wasted. I did not expected","Worst camera
Heating issue
I'm not happy
Delivery too late
I bought this phone for camera use but I disappointed. My poco X2 is far better than it.
Can I replace it ?
All document is safe !
Picture quality is very annoying
I can't believe I'm not going to order anymore products online",""
"Rahul Panchal","5.0 out of 5 stars","Most awaited iPhone !!","Firstly it’s thin, weight is reduced. Apple changed the display to Super Retina edge-to-edge OLED now. It features Ceramic Shield to protect from hardest falls and drops. You are definitely going to love the edges this time. A good option to upgrade from previous models.",""
"Amazon Customer","4.0 out of 5 stars","In love with my first iphone ❤️","Iphoneeeeeee finally 😎 #2021 Goals",""
"Mansi","4.0 out of 5 stars","A little bit expensive 😉","Better build quality as compared to iphone 11 but the camera is good in iphone 11 as compared to this one.",""
"jayraj","4.0 out of 5 stars","Iphone 12 128gb","It's my day 1 review, bought for 72k ,iphone 12 128gb red color. Soon I may modify review again.","2 people found this helpful"
"Binin","4.0 out of 5 stars","Good","screen on time is 7 hours",""
"Saurabh","4.0 out of 5 stars","iPhone 12 screen quality 😍","Overall it is very nice",""
"Gopal suthar","1.0 out of 5 stars","Phone are not good battery is bed","Prime membership ke name pe dhoka hai phone Purana pakda diya",""
"Arijit","5.0 out of 5 stars","Apple rules!","Great upgrade over iPhone 11.Better camera better screen and far better ergonomics.Amazing price offered on Amazon unmatched by any other seller.Great buy!",""
"Customer 645","5.0 out of 5 stars","Snappy performance and good battery backup","Excellent performance, all apps open up almost instantly. Battery life is great. Gets around 4.5-5 hrs screen time with 47% remaining (last checked). Initially while restoring from iCloud it would consume a lot of battery. Give it a day or two. It would settle down.","2 people found this helpful"
"Dhiraj S. Rawat","3.0 out of 5 stars","Phone quality if made in china","If the phone is made I chine you will surely face a problem of either of front speaker not working after some time mostly after one year. And if the problem arise you need to replace your display as well as speaker because both are in one unit with costs around d 21000 inr","One person found this helpful"
"Rahul Joseph","5.0 out of 5 stars","Awesome","iPhone 12 is smooth as a silk and the performance is rock solid, after coming from Android I think this is the best decision I have taken.",""
"vinothan","5.0 out of 5 stars","Best Premium Smartphone in all aspects","Looks premium on hand, Fastest mobile on the planet right now and definitely worthy.
Battery life is good compared to other flagship mobiles.
Camera is outstanding, apple always does the same with iPhone series.
Always in love with apple products still love continues😍😍😍😍",""
"Sachin Salunke","5.0 out of 5 stars","Superior Camera📷😍💯","Just Go for it. Don't look for pro.
This is best.
Camera is superior.👌👌👌
And battery life is surprising. Gives atleast 15 hours full day.",""
"Anand Sindhe","4.0 out of 5 stars","Best iPhone till date","Best iPhone till date",""
"DEEPAK SEMWAL","1.0 out of 5 stars","Bkwas ph nd bkwas amazon","Emi me liya tha ph fltu me extra paise kaat rhi hai 100 rs kbhi 150 aisa todi hota h fltu k paise Kat rhe h ghtyia ph hai koi EMI me ph mt lena",""
"Samrat Ashok","5.0 out of 5 stars","Satisfied product","Green color is best. Phone is liquid fast and camera pics are amazing","One person found this helpful"
"puneet sharma","5.0 out of 5 stars","5min old iPhone 12 has screen issues","Just 5 min old and see the small bubble inside the screen . Hoping to be get resolved by amazon.
Edit - second time got ok phone . Thanks Amazon","3 people found this helpful"
"Amul","5.0 out of 5 stars","Super product but price is high","iPhone is always elite experience. Why all phone manufacturers can not raise their bar to complete with IPhone. Superb product.",""
"Manoj k.","5.0 out of 5 stars","best in market!","Everything is so smooth that u cant even think of getting to android further!",""
"Sarath Kanthan","5.0 out of 5 stars","Assured delivery and quality","The phone is as good as expected. And got delivered safely no need to worry about that.",""
"Vignesh","4.0 out of 5 stars","Apple iPhone 12","Good to use",""
"Anand","4.0 out of 5 stars","Faceid is slow","Good",""
"Sabir Azam","5.0 out of 5 stars","Cool","I think different phone from the others so u can purchase ie expensive bt deserve it",""
"Shrinivasreddy","5.0 out of 5 stars","Smooth-like silk.","It’s totally a worthy one to buy , cameras theee best , night mode is exquisite, surprisingly the battery back up is good and overall it’s a good deal to buy .",""
"Gautam kasaudhan","5.0 out of 5 stars","camera and all features are awesome but in my iphone the volume down button side is very heating","volume down button side heating problem every time","One person found this helpful"
"Amazon Customer","4.0 out of 5 stars","Value for money","Battery life ok but getting warmth very high ,as I am using normal also.",""
"Nithender","5.0 out of 5 stars","Help","I am facing charging problem for my brand new iPhone 12 , it’s take 5 hrs to complete 80% of charging and I’m using apple genuine 20 W adapter.",""
"Jitendra Singh","5.0 out of 5 stars","Beautifully design excellent phone","High quality, elegant design and lovely phone. I love the blue color.",""
"Amazon Customer","5.0 out of 5 stars","Great product","Face ID superb …camera good could have added more futures..they should have given charger for this much money. But battery comes through out day which is good..",""
"Laxman","5.0 out of 5 stars","Its the best phone","Indeed its one of the best phone smooth screen smooth touch a good battery backup a top notch camera what else you want and of course apple’s security.",""
"milindVibhute","5.0 out of 5 stars","Genuine product ,brand new retail model starting Model number from M","Very good , genuine brand new , retail model starting Model number from M is first new retail version",""
"Amazon Customer","5.0 out of 5 stars","iPhone","If you don't have an iPhone then you don't have an iPhone",""
"Mahesh Kulkarni","1.0 out of 5 stars","Phone is not turning on","Brand new iphone 12 is not turning on. Did not expect such a thing from Apple. Even unable to return/replace. I suggest not to buy iPhone from online/amazon","2 people found this helpful"
"Dipankar Ghosh","5.0 out of 5 stars","Value for money Iphone","Gr8 product from Apple",""
"Manish sharma","5.0 out of 5 stars","I was lucky to get in 72000","Very luck to get this price on 72000",""
